"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2018","6.47","6.50","6.56","6.30","8.00M","0.62%"
"Dec 27, 2018","6.43","6.17","6.45","6.03","8.53M","1.10%"
"Dec 26, 2018","6.36","6.11","6.37","5.96","9.91M","7.43%"
"Dec 24, 2018","5.92","6.00","6.12","5.84","8.84M","-2.47%"
"Dec 21, 2018","6.07","6.53","6.65","6.06","13.60M","-6.90%"
"Dec 20, 2018","6.52","6.82","6.92","6.33","12.08M","-4.54%"
"Dec 19, 2018","6.83","7.01","7.15","6.80","9.30M","-3.39%"
"Dec 18, 2018","7.07","7.03","7.19","6.83","10.69M","0.57%"
"Dec 17, 2018","7.03","7.63","7.64","6.96","18.13M","-8.70%"
"Dec 14, 2018","7.70","7.53","7.89","7.40","10.77M","-0.65%"
"Dec 13, 2018","7.75","7.55","7.90","7.26","14.98M","2.79%"
"Dec 12, 2018","7.54","7.20","7.55","7.12","16.01M","6.50%"
"Dec 11, 2018","7.08","7.08","7.20","6.92","8.10M","0.71%"
"Dec 10, 2018","7.03","7.03","7.12","6.74","9.98M","0.57%"
"Dec 07, 2018","6.99","7.36","7.38","6.96","11.58M","-5.16%"
"Dec 06, 2018","7.37","6.86","7.37","6.72","16.69M","4.10%"
"Dec 04, 2018","7.08","7.60","7.64","7.05","19.62M","-6.60%"
"Dec 03, 2018","7.58","8.10","8.13","7.50","22.34M","-1.69%"
"Nov 30, 2018","7.71","7.80","8.00","7.68","10.99M","-1.03%"
"Nov 29, 2018","7.79","8.06","8.12","7.76","13.21M","-4.06%"
"Nov 28, 2018","8.12","7.60","8.15","7.60","22.10M","8.56%"
"Nov 27, 2018","7.48","7.30","7.70","7.23","9.08M","1.49%"
"Nov 26, 2018","7.37","7.61","7.63","7.16","12.16M","-1.21%"
"Nov 23, 2018","7.46","7.68","7.70","7.41","8.12M","-3.24%"
"Nov 21, 2018","7.71","7.90","8.05","7.63","13.99M","0.52%"
"Nov 20, 2018","7.67","7.65","7.91","7.15","26.92M","-2.17%"
"Nov 19, 2018","7.84","7.38","8.21","7.28","49.17M","9.04%"
"Nov 16, 2018","7.19","7.40","7.65","7.16","14.97M","-2.04%"
"Nov 15, 2018","7.34","7.15","7.49","7.11","18.04M","3.38%"
"Nov 14, 2018","7.10","6.80","7.45","6.80","29.59M","4.72%"
"Nov 13, 2018","6.78","6.69","6.90","6.58","15.37M","1.95%"
"Nov 12, 2018","6.65","6.72","6.93","6.56","12.71M","-1.77%"
"Nov 09, 2018","6.77","6.59","6.93","6.52","12.79M","1.20%"
"Nov 08, 2018","6.69","6.49","7.10","6.47","20.51M","-0.74%"
"Nov 07, 2018","6.74","6.42","6.88","6.15","23.76M","5.31%"
"Nov 06, 2018","6.40","7.22","7.32","6.40","49.86M","-4.19%"
"Nov 05, 2018","6.68","6.52","6.72","6.25","13.19M","2.93%"
"Nov 02, 2018","6.49","6.84","6.84","6.27","17.99M","-1.96%"
"Nov 01, 2018","6.62","6.00","6.78","5.96","24.33M","12.20%"
"Oct 31, 2018","5.90","6.08","6.25","5.90","15.21M","-0.84%"
"Oct 30, 2018","5.95","6.20","6.22","5.62","21.82M","-3.88%"
"Oct 29, 2018","6.19","6.53","6.79","6.05","16.03M","-2.52%"
"Oct 26, 2018","6.35","6.21","6.51","6.18","9.46M","-1.55%"
"Oct 25, 2018","6.45","6.27","6.57","6.25","9.19M","4.54%"
"Oct 24, 2018","6.17","6.85","6.85","6.13","14.79M","-9.40%"
"Oct 23, 2018","6.81","6.74","6.89","6.45","14.90M","-3.13%"
"Oct 22, 2018","7.03","7.68","7.68","7.00","12.76M","-3.96%"
"Oct 19, 2018","7.32","7.59","7.75","7.22","7.34M","-2.40%"
"Oct 18, 2018","7.50","7.60","7.67","7.26","11.91M","-3.47%"
"Oct 17, 2018","7.77","8.12","8.16","7.73","11.71M","-3.36%"
"Oct 16, 2018","8.04","8.06","8.20","7.83","17.49M","2.81%"
"Oct 15, 2018","7.82","7.86","8.30","7.70","26.78M","4.83%"
"Oct 12, 2018","7.46","7.46","7.75","7.28","14.55M","3.90%"
"Oct 11, 2018","7.18","7.44","7.55","6.92","22.73M","-7.35%"
"Oct 10, 2018","7.75","8.10","8.35","7.39","74.97M","4.87%"
"Oct 09, 2018","7.39","6.19","7.40","6.10","38.46M","22.35%"
"Oct 08, 2018","6.04","6.07","6.18","5.95","11.51M","-3.51%"
"Oct 05, 2018","6.26","6.20","6.29","6.03","8.38M","0.16%"
"Oct 04, 2018","6.25","6.19","6.25","6.00","11.90M","-0.79%"
"Oct 03, 2018","6.30","6.12","6.55","6.12","13.25M","6.24%"
"Oct 02, 2018","5.93","6.60","6.60","5.87","19.44M","-10.15%"
"Oct 01, 2018","6.60","7.06","7.08","6.60","16.43M","-5.44%"
"Sep 28, 2018","6.98","6.97","7.28","6.68","21.81M","-0.43%"
"Sep 27, 2018","7.01","7.55","7.55","7.01","16.82M","-6.53%"
"Sep 26, 2018","7.50","7.59","7.76","7.50","11.09M","-1.06%"
"Sep 25, 2018","7.58","8.06","8.19","7.50","18.91M","-3.68%"
"Sep 24, 2018","7.87","8.32","8.39","7.85","16.30M","-8.38%"
"Sep 21, 2018","8.59","9.05","9.07","8.50","15.12M","-2.16%"
"Sep 20, 2018","8.78","9.07","9.47","8.42","40.28M","3.29%"
"Sep 19, 2018","8.50","7.88","9.15","7.54","48.31M","10.68%"
"Sep 18, 2018","7.68","8.73","9.10","7.67","41.83M","-9.65%"
"Sep 17, 2018","8.50","9.61","9.75","8.50","56.32M","-14.14%"
"Sep 14, 2018","9.90","12.66","13.80","9.22","172.47M","-14.66%"
"Sep 13, 2018","11.60","6.62","12.69","6.52","158.35M","75.76%"
