"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2020","3.24","3.00","3.26","2.95","35.64M","10.20%"
"Apr 24, 2020","2.94","3.08","3.10","2.91","22.13M","-3.92%"
"Apr 23, 2020","3.06","3.20","3.20","3.05","17.43M","-0.97%"
"Apr 22, 2020","3.09","3.09","3.15","3.05","14.54M","2.32%"
"Apr 21, 2020","3.02","3.10","3.22","3.01","19.79M","-5.33%"
"Apr 20, 2020","3.19","3.18","3.35","3.05","18.69M","-0.62%"
"Apr 17, 2020","3.21","3.36","3.36","3.15","22.03M","-1.23%"
"Apr 16, 2020","3.25","3.30","3.41","3.20","37.80M","1.56%"
"Apr 15, 2020","3.20","2.95","3.20","2.88","27.53M","6.31%"
"Apr 14, 2020","3.01","3.15","3.16","2.92","36.48M","1.35%"
"Apr 13, 2020","2.97","2.67","2.97","2.63","38.42M","11.24%"
"Apr 09, 2020","2.67","2.82","2.82","2.63","32.81M","-2.55%"
"Apr 08, 2020","2.74","2.76","2.80","2.71","18.31M","1.48%"
"Apr 07, 2020","2.70","2.81","2.81","2.65","46.15M","9.31%"
"Apr 06, 2020","2.47","2.48","2.55","2.40","34.87M","2.92%"
"Apr 03, 2020","2.40","2.45","2.49","2.33","19.52M","0.42%"
"Apr 02, 2020","2.39","2.51","2.59","2.22","58.94M","-9.81%"
"Apr 01, 2020","2.65","2.63","2.76","2.60","17.15M","-4.68%"
"Mar 31, 2020","2.78","2.83","2.88","2.68","30.26M","2.58%"
"Mar 30, 2020","2.71","2.81","2.83","2.70","20.12M","-4.58%"
"Mar 27, 2020","2.84","2.85","2.89","2.77","25.13M","-3.07%"
"Mar 26, 2020","2.93","2.83","3.06","2.79","43.67M","6.16%"
"Mar 25, 2020","2.76","2.73","2.98","2.60","56.59M","6.15%"
"Mar 24, 2020","2.60","2.52","2.75","2.40","64.75M","9.70%"
"Mar 23, 2020","2.37","2.33","2.37","2.15","47.44M","-1.25%"
"Mar 20, 2020","2.40","2.49","2.64","2.35","50.53M","0.84%"
"Mar 19, 2020","2.38","2.31","2.55","2.23","35.50M","-2.06%"
"Mar 18, 2020","2.43","2.39","2.58","2.11","94.43M","-16.21%"
"Mar 17, 2020","2.90","2.97","3.12","2.79","34.86M","-1.36%"
"Mar 16, 2020","2.94","2.87","3.11","2.75","41.27M","-5.47%"
"Mar 13, 2020","3.11","3.28","3.33","2.99","41.77M","-0.64%"
"Mar 12, 2020","3.13","3.06","3.23","2.98","52.44M","-5.72%"
"Mar 11, 2020","3.32","3.40","3.53","3.26","31.60M","-5.14%"
"Mar 10, 2020","3.50","3.49","3.54","3.29","34.93M","6.38%"
